,ID,Robocrys_description,N_tokens,SG,SG_symbol,Crystal_system,Structure_types
611,mp-1678,PuRh3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Pu is bonded to twelve equivalent Rh atoms to form a mixture of corner and face-sharing PuRh12 cuboctahedra. All Pu-Rh bond lengths are 2.84 Å. Rh is bonded in a distorted square co-planar geometry to four equivalent Pu atoms.,52,221,Pm-3m,cubic,Uranium Silicide
612,mp-1911,CeSn3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Ce is bonded to twelve equivalent Sn atoms to form a mixture of corner and face-sharing CeSn12 cuboctahedra. All Ce-Sn bond lengths are 3.34 Å. Sn is bonded in a distorted square co-planar geometry to four equivalent Ce atoms.,52,221,Pm-3m,cubic,Uranium Silicide
613,mp-20023,Pr(In) is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Pr is bonded in a body-centered cubic geometry to eight equivalent In atoms. All Pr-In bond lengths are 3.38 Å. In is bonded in a body-centered cubic geometry to eight equivalent Pr atoms.,45,221,Pm-3m,cubic,Tetraauricupride
614,mp-20225,CePb3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Ce is bonded to twelve equivalent Pb atoms to form a mixture of corner and face-sharing CePb12 cuboctahedra. All Ce-Pb bond lengths are 3.46 Å. Pb is bonded in a distorted square co-planar geometry to four equivalent Ce atoms.,52,221,Pm-3m,cubic,Uranium Silicide
615,mp-20272,GdPt3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Gd is bonded to twelve equivalent Pt atoms to form a mixture of corner and face-sharing GdPt12 cuboctahedra. All Gd-Pt bond lengths are 2.92 Å. Pt is bonded in a distorted square co-planar geometry to four equivalent Gd atoms.,52,221,Pm-3m,cubic,Uranium Silicide
616,mp-20874,EuB6 is Calcium hexaboride structured and crystallizes in the cubic Pm̅3m space group. Eu is bonded in a 24-coordinate geometry to twenty-four equivalent B atoms. All Eu-B bond lengths are 3.06 Å. B is bonded in a 5-coordinate geometry to four equivalent Eu and five equivalent B atoms. There is one shorter (1.68 Å) and four longer (1.75 Å) B-B bond lengths.,62,221,Pm-3m,cubic,Calcium hexaboride
617,mp-2092,CePd3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Ce is bonded to twelve equivalent Pd atoms to form a mixture of corner and face-sharing CePd12 cuboctahedra. All Ce-Pd bond lengths are 2.93 Å. Pd is bonded in a distorted square co-planar geometry to four equivalent Ce atoms.,52,221,Pm-3m,cubic,Uranium Silicide
618,mp-21156,TbPb3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Tb is bonded to twelve equivalent Pb atoms to form a mixture of face and corner-sharing TbPb12 cuboctahedra. All Tb-Pb bond lengths are 3.43 Å. Pb is bonded in a distorted square co-planar geometry to four equivalent Tb atoms.,52,221,Pm-3m,cubic,Uranium Silicide
619,mp-2314,PbLi is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Li is bonded in a body-centered cubic geometry to eight equivalent Pb atoms. All Li-Pb bond lengths are 3.05 Å. Pb is bonded in a body-centered cubic geometry to eight equivalent Li atoms.,45,221,Pm-3m,cubic,Tetraauricupride
620,mp-2434,TlSr is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Sr is bonded in a body-centered cubic geometry to eight equivalent Tl atoms. All Sr-Tl bond lengths are 3.52 Å. Tl is bonded in a body-centered cubic geometry to eight equivalent Sr atoms.,45,221,Pm-3m,cubic,Tetraauricupride
621,mp-2642,AgCd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Ag is bonded in a body-centered cubic geometry to eight equivalent Cd atoms. All Ag-Cd bond lengths are 2.90 Å. Cd is bonded in a body-centered cubic geometry to eight equivalent Ag atoms.,45,221,Pm-3m,cubic,Tetraauricupride
622,mp-284,CoAl is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Co is bonded in a body-centered cubic geometry to eight equivalent Al atoms. All Co-Al bond lengths are 2.44 Å. Al is bonded in a body-centered cubic geometry to eight equivalent Co atoms.,45,221,Pm-3m,cubic,Tetraauricupride
623,mp-30496,SrCd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Sr is bonded in a body-centered cubic geometry to eight equivalent Cd atoms. All Sr-Cd bond lengths are 3.49 Å. Cd is bonded in a body-centered cubic geometry to eight equivalent Sr atoms.,45,221,Pm-3m,cubic,Tetraauricupride
624,mp-417,MnRh is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Mn is bonded in a body-centered cubic geometry to eight equivalent Rh atoms. All Mn-Rh bond lengths are 2.62 Å. Rh is bonded in a body-centered cubic geometry to eight equivalent Mn atoms.,45,221,Pm-3m,cubic,Tetraauricupride
625,mp-1018029,PdCu is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Pd is bonded in a body-centered cubic geometry to eight equivalent Cu atoms. All Pd-Cu bond lengths are 2.58 Å. Cu is bonded in a body-centered cubic geometry to eight equivalent Pd atoms.,45,221,Pm-3m,cubic,Tetraauricupride
626,mp-1053,NdZn is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Nd is bonded in a body-centered cubic geometry to eight equivalent Zn atoms. All Nd-Zn bond lengths are 3.18 Å. Zn is bonded in a body-centered cubic geometry to eight equivalent Nd atoms.,45,221,Pm-3m,cubic,Tetraauricupride
627,mp-1092,HoHg is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Ho is bonded in a body-centered cubic geometry to eight equivalent Hg atoms. All Ho-Hg bond lengths are 3.18 Å. Hg is bonded in a body-centered cubic geometry to eight equivalent Ho atoms.,45,221,Pm-3m,cubic,Tetraauricupride
628,mp-11374,DyTl is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Dy is bonded in a body-centered cubic geometry to eight equivalent Tl atoms. All Dy-Tl bond lengths are 3.26 Å. Tl is bonded in a body-centered cubic geometry to eight equivalent Dy atoms.,45,221,Pm-3m,cubic,Tetraauricupride
629,mp-11422,GdHg is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Gd is bonded in a body-centered cubic geometry to eight equivalent Hg atoms. All Gd-Hg bond lengths are 3.23 Å. Hg is bonded in a body-centered cubic geometry to eight equivalent Gd atoms.,45,221,Pm-3m,cubic,Tetraauricupride
630,mp-11457,HfRh is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Hf is bonded in a body-centered cubic geometry to eight equivalent Rh atoms. All Hf-Rh bond lengths are 2.81 Å. Rh is bonded in a body-centered cubic geometry to eight equivalent Hf atoms.,45,221,Pm-3m,cubic,Tetraauricupride
631,mp-11475,TmHg is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Tm is bonded in a body-centered cubic geometry to eight equivalent Hg atoms. All Tm-Hg bond lengths are 3.16 Å. Hg is bonded in a body-centered cubic geometry to eight equivalent Tm atoms.,45,221,Pm-3m,cubic,Tetraauricupride
632,mp-1263,URu3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. U is bonded to twelve equivalent Ru atoms to form a mixture of corner and face-sharing URu12 cuboctahedra. All U-Ru bond lengths are 2.81 Å. Ru is bonded in a distorted square co-planar geometry to four equivalent U atoms.,52,221,Pm-3m,cubic,Uranium Silicide
633,mp-170,HoCd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Ho is bonded in a body-centered cubic geometry to eight equivalent Cd atoms. All Ho-Cd bond lengths are 3.21 Å. Cd is bonded in a body-centered cubic geometry to eight equivalent Ho atoms.,45,221,Pm-3m,cubic,Tetraauricupride
634,mp-20848,TmIn is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Tm is bonded in a body-centered cubic geometry to eight equivalent In atoms. All Tm-In bond lengths are 3.20 Å. In is bonded in a body-centered cubic geometry to eight equivalent Tm atoms.,45,221,Pm-3m,cubic,Tetraauricupride
635,mp-21162,Pb3Sr is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Sr is bonded to twelve equivalent Pb atoms to form a mixture of face and corner-sharing SrPb12 cuboctahedra. All Sr-Pb bond lengths are 3.54 Å. Pb is bonded in a square co-planar geometry to four equivalent Sr atoms.,51,221,Pm-3m,cubic,Uranium Silicide
636,mp-2195,MgLu is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Mg is bonded in a body-centered cubic geometry to eight equivalent Lu atoms. All Mg-Lu bond lengths are 3.22 Å. Lu is bonded in a body-centered cubic geometry to eight equivalent Mg atoms.,45,221,Pm-3m,cubic,Tetraauricupride
637,mp-2226,DyPd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Dy is bonded in a body-centered cubic geometry to eight equivalent Pd atoms. All Dy-Pd bond lengths are 3.02 Å. Pd is bonded in a body-centered cubic geometry to eight equivalent Dy atoms.,45,221,Pm-3m,cubic,Tetraauricupride
638,mp-2311,NbO crystallizes in the cubic Pm̅3m space group. Nb2+ is bonded in a square co-planar geometry to four equivalent O2- atoms. All Nb-O bond lengths are 2.12 Å. O2- is bonded in a square co-planar geometry to four equivalent Nb2+ atoms.,41,221,Pm-3m,cubic,
639,mp-2444,RhGa is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Rh is bonded in a body-centered cubic geometry to eight equivalent Ga atoms. All Rh-Ga bond lengths are 2.60 Å. Ga is bonded in a body-centered cubic geometry to eight equivalent Rh atoms.,45,221,Pm-3m,cubic,Tetraauricupride
640,mp-2497,GdZn is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Gd is bonded in a body-centered cubic geometry to eight equivalent Zn atoms. All Gd-Zn bond lengths are 3.10 Å. Zn is bonded in a body-centered cubic geometry to eight equivalent Gd atoms.,45,221,Pm-3m,cubic,Tetraauricupride
641,mp-2800,USi3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. U4+ is bonded to twelve equivalent Si+1.33- atoms to form a mixture of face and corner-sharing USi12 cuboctahedra. All U-Si bond lengths are 2.83 Å. Si+1.33- is bonded in a distorted square co-planar geometry to four equivalent U4+ atoms.,52,221,Pm-3m,cubic,Uranium Silicide
642,mp-506,MgPd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Mg is bonded in a body-centered cubic geometry to eight equivalent Pd atoms. All Mg-Pd bond lengths are 2.73 Å. Pd is bonded in a body-centered cubic geometry to eight equivalent Mg atoms.,45,221,Pm-3m,cubic,Tetraauricupride
643,mp-674,LaPd3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. La is bonded to twelve equivalent Pd atoms to form a mixture of corner and face-sharing LaPd12 cuboctahedra. All La-Pd bond lengths are 2.97 Å. Pd is bonded in a distorted square co-planar geometry to four equivalent La atoms.,52,221,Pm-3m,cubic,Uranium Silicide
644,mp-836,TbZn is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Tb is bonded in a body-centered cubic geometry to eight equivalent Zn atoms. All Tb-Zn bond lengths are 3.09 Å. Zn is bonded in a body-centered cubic geometry to eight equivalent Tb atoms.,45,221,Pm-3m,cubic,Tetraauricupride
645,mp-899,RhIn is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Rh is bonded in a body-centered cubic geometry to eight equivalent In atoms. All Rh-In bond lengths are 2.78 Å. In is bonded in a body-centered cubic geometry to eight equivalent Rh atoms.,45,221,Pm-3m,cubic,Tetraauricupride
646,mp-11248,LiAu3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Li1+ is bonded to twelve equivalent Au+0.33- atoms to form a mixture of corner and face-sharing LiAu12 cuboctahedra. All Li-Au bond lengths are 2.85 Å. Au+0.33- is bonded in a distorted square co-planar geometry to four equivalent Li1+ atoms.,52,221,Pm-3m,cubic,Uranium Silicide
647,mp-11274,BePd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Be is bonded in a body-centered cubic geometry to eight equivalent Pd atoms. All Be-Pd bond lengths are 2.43 Å. Pd is bonded in a body-centered cubic geometry to eight equivalent Be atoms.,45,221,Pm-3m,cubic,Tetraauricupride
648,mp-1174,MgSc is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Mg is bonded in a body-centered cubic geometry to eight equivalent Sc atoms. All Mg-Sc bond lengths are 3.11 Å. Sc is bonded in a body-centered cubic geometry to eight equivalent Mg atoms.,45,221,Pm-3m,cubic,Tetraauricupride
649,mp-1211,ScCd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Sc is bonded in a body-centered cubic geometry to eight equivalent Cd atoms. All Sc-Cd bond lengths are 3.05 Å. Cd is bonded in a body-centered cubic geometry to eight equivalent Sc atoms.,45,221,Pm-3m,cubic,Tetraauricupride
650,mp-1660,ErZn is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Er is bonded in a body-centered cubic geometry to eight equivalent Zn atoms. All Er-Zn bond lengths are 3.04 Å. Zn is bonded in a body-centered cubic geometry to eight equivalent Er atoms.,45,221,Pm-3m,cubic,Tetraauricupride
651,mp-20549,Pb3Ca is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Ca is bonded to twelve equivalent Pb atoms to form a mixture of corner and face-sharing CaPb12 cuboctahedra. All Ca-Pb bond lengths are 3.48 Å. Pb is bonded in a distorted square co-planar geometry to four equivalent Ca atoms.,52,221,Pm-3m,cubic,Uranium Silicide
652,mp-21484,PuGe3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Pu is bonded to twelve equivalent Ge atoms to form a mixture of face and corner-sharing PuGe12 cuboctahedra. All Pu-Ge bond lengths are 3.01 Å. Ge is bonded in a distorted square co-planar geometry to four equivalent Pu atoms.,52,221,Pm-3m,cubic,Uranium Silicide
653,mp-22865,CsCl is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Cs1+ is bonded in a body-centered cubic geometry to eight equivalent Cl1- atoms. All Cs-Cl bond lengths are 3.59 Å. Cl1- is bonded in a body-centered cubic geometry to eight equivalent Cs1+ atoms.,45,221,Pm-3m,cubic,Tetraauricupride
654,mp-257,DyIn is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Dy is bonded in a body-centered cubic geometry to eight equivalent In atoms. All Dy-In bond lengths are 3.24 Å. In is bonded in a body-centered cubic geometry to eight equivalent Dy atoms.,45,221,Pm-3m,cubic,Tetraauricupride
655,mp-2621,ErAg is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Er is bonded in a body-centered cubic geometry to eight equivalent Ag atoms. All Er-Ag bond lengths are 3.10 Å. Ag is bonded in a body-centered cubic geometry to eight equivalent Er atoms.,45,221,Pm-3m,cubic,Tetraauricupride
656,mp-2680,LaB6 is Calcium hexaboride structured and crystallizes in the cubic Pm̅3m space group. La is bonded in a 24-coordinate geometry to twenty-four equivalent B atoms. All La-B bond lengths are 3.05 Å. B is bonded in a 5-coordinate geometry to four equivalent La and five equivalent B atoms. There is one shorter (1.66 Å) and four longer (1.76 Å) B-B bond lengths.,62,221,Pm-3m,cubic,Calcium hexaboride
657,mp-2747,TbPd3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Tb is bonded to twelve equivalent Pd atoms to form a mixture of face and corner-sharing TbPd12 cuboctahedra. All Tb-Pd bond lengths are 2.90 Å. Pd is bonded in a distorted square co-planar geometry to four equivalent Tb atoms.,52,221,Pm-3m,cubic,Uranium Silicide
658,mp-30845,SmPt3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Sm2+ is bonded to twelve equivalent Pt+0.67- atoms to form a mixture of corner and face-sharing SmPt12 cuboctahedra. All Sm-Pt bond lengths are 2.93 Å. Pt+0.67- is bonded in a distorted square co-planar geometry to four equivalent Sm2+ atoms.,52,221,Pm-3m,cubic,Uranium Silicide
659,mp-527,BaCd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Ba is bonded in a body-centered cubic geometry to eight equivalent Cd atoms. All Ba-Cd bond lengths are 3.68 Å. Cd is bonded in a body-centered cubic geometry to eight equivalent Ba atoms.,45,221,Pm-3m,cubic,Tetraauricupride
660,mp-570018,Ce3Pb is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Ce is bonded in a distorted square co-planar geometry to four equivalent Pb atoms. All Ce-Pb bond lengths are 3.49 Å. Pb is bonded to twelve equivalent Ce atoms to form a mixture of corner and face-sharing PbCe12 cuboctahedra.,52,221,Pm-3m,cubic,Uranium Silicide
661,mp-570276,ZnZr is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Zr is bonded in a body-centered cubic geometry to eight equivalent Zn atoms. All Zr-Zn bond lengths are 2.88 Å. Zn is bonded in a body-centered cubic geometry to eight equivalent Zr atoms.,45,221,Pm-3m,cubic,Tetraauricupride
662,mp-734,LaHg is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. La is bonded in a body-centered cubic geometry to eight equivalent Hg atoms. All La-Hg bond lengths are 3.38 Å. Hg is bonded in a body-centered cubic geometry to eight equivalent La atoms.,45,221,Pm-3m,cubic,Tetraauricupride
663,mp-776,LaCd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. La is bonded in a body-centered cubic geometry to eight equivalent Cd atoms. All La-Cd bond lengths are 3.41 Å. Cd is bonded in a body-centered cubic geometry to eight equivalent La atoms.,45,221,Pm-3m,cubic,Tetraauricupride
664,mp-867,ErCd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Er is bonded in a body-centered cubic geometry to eight equivalent Cd atoms. All Er-Cd bond lengths are 3.19 Å. Cd is bonded in a body-centered cubic geometry to eight equivalent Er atoms.,45,221,Pm-3m,cubic,Tetraauricupride
665,mp-11286,CaHg is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Ca is bonded in a body-centered cubic geometry to eight equivalent Hg atoms. All Ca-Hg bond lengths are 3.25 Å. Hg is bonded in a body-centered cubic geometry to eight equivalent Ca atoms.,45,221,Pm-3m,cubic,Tetraauricupride
666,mp-11370,ErIn is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Er is bonded in a body-centered cubic geometry to eight equivalent In atoms. All Er-In bond lengths are 3.21 Å. In is bonded in a body-centered cubic geometry to eight equivalent Er atoms.,45,221,Pm-3m,cubic,Tetraauricupride
667,mp-11575,YTl is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Y is bonded in a body-centered cubic geometry to eight equivalent Tl atoms. All Y-Tl bond lengths are 3.27 Å. Tl is bonded in a body-centered cubic geometry to eight equivalent Y atoms.,45,221,Pm-3m,cubic,Tetraauricupride
668,mp-1236,NdAg is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Nd is bonded in a body-centered cubic geometry to eight equivalent Ag atoms. All Nd-Ag bond lengths are 3.23 Å. Ag is bonded in a body-centered cubic geometry to eight equivalent Nd atoms.,45,221,Pm-3m,cubic,Tetraauricupride
669,mp-12593,ScIr3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Sc is bonded to twelve equivalent Ir atoms to form a mixture of face and corner-sharing ScIr12 cuboctahedra. All Sc-Ir bond lengths are 2.78 Å. Ir is bonded in a distorted square co-planar geometry to four equivalent Sc atoms.,52,221,Pm-3m,cubic,Uranium Silicide
670,mp-12674,MnAu is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Mn is bonded in a body-centered cubic geometry to eight equivalent Au atoms. All Mn-Au bond lengths are 2.78 Å. Au is bonded in a body-centered cubic geometry to eight equivalent Mn atoms.,45,221,Pm-3m,cubic,Tetraauricupride
671,mp-12762,PrB6 is Calcium hexaboride structured and crystallizes in the cubic Pm̅3m space group. Pr is bonded in a 24-coordinate geometry to twenty-four equivalent B atoms. All Pr-B bond lengths are 3.04 Å. B is bonded in a 5-coordinate geometry to four equivalent Pr and five equivalent B atoms. There is one shorter (1.66 Å) and four longer (1.76 Å) B-B bond lengths.,62,221,Pm-3m,cubic,Calcium hexaboride
672,mp-1487,NiAl is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Ni is bonded in a body-centered cubic geometry to eight equivalent Al atoms. All Ni-Al bond lengths are 2.48 Å. Al is bonded in a body-centered cubic geometry to eight equivalent Ni atoms.,45,221,Pm-3m,cubic,Tetraauricupride
673,mp-1529,LuIr is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Lu is bonded in a body-centered cubic geometry to eight equivalent Ir atoms. All Lu-Ir bond lengths are 2.88 Å. Ir is bonded in a body-centered cubic geometry to eight equivalent Lu atoms.,45,221,Pm-3m,cubic,Tetraauricupride
674,mp-177,USb is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. U3+ is bonded in a body-centered cubic geometry to eight equivalent Sb3- atoms. All U-Sb bond lengths are 3.25 Å. Sb3- is bonded in a body-centered cubic geometry to eight equivalent U3+ atoms.,45,221,Pm-3m,cubic,Tetraauricupride
675,mp-1918,FeRh is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Fe is bonded in a body-centered cubic geometry to eight equivalent Rh atoms. All Fe-Rh bond lengths are 2.59 Å. Rh is bonded in a body-centered cubic geometry to eight equivalent Fe atoms.,45,221,Pm-3m,cubic,Tetraauricupride
676,mp-2054,TbHg is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Tb is bonded in a body-centered cubic geometry to eight equivalent Hg atoms. All Tb-Hg bond lengths are 3.21 Å. Hg is bonded in a body-centered cubic geometry to eight equivalent Tb atoms.,45,221,Pm-3m,cubic,Tetraauricupride
677,mp-22266,GdB6 is Calcium hexaboride structured and crystallizes in the cubic Pm̅3m space group. Gd is bonded in a 24-coordinate geometry to twenty-four equivalent B atoms. All Gd-B bond lengths are 3.01 Å. B is bonded in a 5-coordinate geometry to four equivalent Gd and five equivalent B atoms. There is one shorter (1.63 Å) and four longer (1.75 Å) B-B bond lengths.,62,221,Pm-3m,cubic,Calcium hexaboride
678,mp-2249,HoZn is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Ho is bonded in a body-centered cubic geometry to eight equivalent Zn atoms. All Ho-Zn bond lengths are 3.06 Å. Zn is bonded in a body-centered cubic geometry to eight equivalent Ho atoms.,45,221,Pm-3m,cubic,Tetraauricupride
679,mp-2268,TbAg is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Tb is bonded in a body-centered cubic geometry to eight equivalent Ag atoms. All Tb-Ag bond lengths are 3.14 Å. Ag is bonded in a body-centered cubic geometry to eight equivalent Tb atoms.,45,221,Pm-3m,cubic,Tetraauricupride
680,mp-2351,TmPt3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Tm is bonded to twelve equivalent Pt atoms to form a mixture of face and corner-sharing TmPt12 cuboctahedra. All Tm-Pt bond lengths are 2.87 Å. Pt is bonded in a distorted square co-planar geometry to four equivalent Tm atoms.,52,221,Pm-3m,cubic,Uranium Silicide
681,mp-2677,ScPd3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Sc is bonded to twelve equivalent Pd atoms to form a mixture of face and corner-sharing ScPd12 cuboctahedra. All Sc-Pd bond lengths are 2.81 Å. Pd is bonded in a distorted square co-planar geometry to four equivalent Sc atoms.,52,221,Pm-3m,cubic,Uranium Silicide
682,mp-2802,HfRu is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Hf is bonded in a body-centered cubic geometry to eight equivalent Ru atoms. All Hf-Ru bond lengths are 2.79 Å. Ru is bonded in a body-centered cubic geometry to eight equivalent Hf atoms.,45,221,Pm-3m,cubic,Tetraauricupride
683,mp-30373,RbAu is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Rb1+ is bonded in a body-centered cubic geometry to eight equivalent Au1- atoms. All Rb-Au bond lengths are 3.55 Å. Au1- is bonded in a body-centered cubic geometry to eight equivalent Rb1+ atoms.,45,221,Pm-3m,cubic,Tetraauricupride
684,mp-30746,IrY is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Y is bonded in a body-centered cubic geometry to eight equivalent Ir atoms. All Y-Ir bond lengths are 2.96 Å. Ir is bonded in a body-centered cubic geometry to eight equivalent Y atoms.,45,221,Pm-3m,cubic,Tetraauricupride
685,mp-572,SmCd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Sm is bonded in a body-centered cubic geometry to eight equivalent Cd atoms. All Sm-Cd bond lengths are 3.29 Å. Cd is bonded in a body-centered cubic geometry to eight equivalent Sm atoms.,45,221,Pm-3m,cubic,Tetraauricupride
686,mp-1059,NdCd is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Nd is bonded in a body-centered cubic geometry to eight equivalent Cd atoms. All Nd-Cd bond lengths are 3.33 Å. Cd is bonded in a body-centered cubic geometry to eight equivalent Nd atoms.,45,221,Pm-3m,cubic,Tetraauricupride
687,mp-11276,BeRh is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Be is bonded in a body-centered cubic geometry to eight equivalent Rh atoms. All Be-Rh bond lengths are 2.40 Å. Rh is bonded in a body-centered cubic geometry to eight equivalent Be atoms.,45,221,Pm-3m,cubic,Tetraauricupride
688,mp-11541,OsZr is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Zr2+ is bonded in a body-centered cubic geometry to eight equivalent Os2- atoms. All Zr-Os bond lengths are 2.84 Å. Os2- is bonded in a body-centered cubic geometry to eight equivalent Zr2+ atoms.,45,221,Pm-3m,cubic,Tetraauricupride
689,mp-1681,La3Sn is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. La is bonded in a distorted square co-planar geometry to four equivalent Sn atoms. All La-Sn bond lengths are 3.56 Å. Sn is bonded to twelve equivalent La atoms to form a mixture of corner and face-sharing SnLa12 cuboctahedra.,52,221,Pm-3m,cubic,Uranium Silicide
690,mp-1913,ErPt3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Er is bonded to twelve equivalent Pt atoms to form a mixture of face and corner-sharing ErPt12 cuboctahedra. All Er-Pt bond lengths are 2.88 Å. Pt is bonded in a distorted square co-planar geometry to four equivalent Er atoms.,52,221,Pm-3m,cubic,Uranium Silicide
691,mp-1921,ThTe is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Th is bonded in a body-centered cubic geometry to eight equivalent Te atoms. All Th-Te bond lengths are 3.35 Å. Te is bonded in a body-centered cubic geometry to eight equivalent Th atoms.,45,221,Pm-3m,cubic,Tetraauricupride
692,mp-1977,NdSn3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Nd is bonded to twelve equivalent Sn atoms to form a mixture of corner and face-sharing NdSn12 cuboctahedra. All Nd-Sn bond lengths are 3.37 Å. Sn is bonded in a distorted square co-planar geometry to four equivalent Nd atoms.,52,221,Pm-3m,cubic,Uranium Silicide
693,mp-214,RuZr is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Zr is bonded in a body-centered cubic geometry to eight equivalent Ru atoms. All Zr-Ru bond lengths are 2.82 Å. Ru is bonded in a body-centered cubic geometry to eight equivalent Zr atoms.,45,221,Pm-3m,cubic,Tetraauricupride
694,mp-2228,MgEr is Tetraauricupride structured and crystallizes in the cubic Pm̅3m space group. Mg is bonded in a body-centered cubic geometry to eight equivalent Er atoms. All Mg-Er bond lengths are 3.26 Å. Er is bonded in a body-centered cubic geometry to eight equivalent Mg atoms.,45,221,Pm-3m,cubic,Tetraauricupride
695,mp-2333,NdPd3 is Uranium Silicide structured and crystallizes in the cubic Pm̅3m space group. Nd is bonded to twelve equivalent Pd atoms to form a mixture of face and corner-sharing NdPd12 cuboctahedra. All Nd-Pd bond lengths are 2.95 Å. Pd is bonded in a distorted square co-planar geometry to four equivalent Nd atoms.,52,221,Pm-3m,cubic,Uranium Silicide
